id,title,company_name,location,zipcode,city,state
2718722753,Data Analyst,Tesla,"Fremont, CA",94536,Fremont,CA
2751974802,Data Analyst,Intel Corporation,"Santa Clara, CA",95050,Santa Clara,CA
2751959534,Data Analyst III,Walmart,"Sunnyvale, CA",94085,Sunnyvale,CA
2714056502,Data Analyst - TikTok US - Tech Services,TikTok,"Mountain View, CA",94040,Mountain View,CA
2739427615,Data Analyst,Stanford University,"Stanford, CA",94305,Stanford,CA
2748403826,"Data Analyst, Design Technology",Tesla,"Palo Alto, CA",94301,Palo Alto,CA
2726826360,Data Analyst – Quality Systems & Data Science,Tesla,"Fremont, CA",94536,Fremont,CA
2708106292,Business Data Analyst,Intuit,"Mountain View, CA",94040,Mountain View,CA
2738962176,Data Analyst,Stanford University School of Medicine,"Palo Alto, CA",94301,Palo Alto,CA
2740548101,Associate Data Analyst,Study.com,"Mountain View, CA",94040,Mountain View,CA
2748401538,Staff Data Analyst - Product Analytics,Walmart,"Sunnyvale, CA",94085,Sunnyvale,CA
2756547585,Data Analyst,Collabera Inc.,"Mountain View, CA",94040,Mountain View,CA
2748486678,(USA) Staff Data Analyst,Walmart,"Sunnyvale, CA",94085,Sunnyvale,CA
2763293301,Data Analyst,Collabera Inc.,"Mountain View, CA",94040,Mountain View,CA
2751778457,Data Analyst,HealthTap,"Mountain View, CA",94040,Mountain View,CA
2719347971,Data Analyst- Field Reliability,Tesla,"Palo Alto, CA",94301,Palo Alto,CA
2760973932,Data Analyst,ICONMA,"Redwood City, CA",94061,Redwood City,CA
2724457842,"Data Analyst, Manufacturing Quality",Tesla,"Fremont, CA",94536,Fremont,CA
2748136228,Data Analyst,Driven Brands Inc.,San Francisco Bay Area,94101,San Francisco,CA
2726821884,Data Analyst – Manufacturing Quality,Tesla,"Fremont, CA",94536,Fremont,CA
2737570850,Data Analyst,Stockpile,"Palo Alto, CA",94301,Palo Alto,CA
2723803345,Data Analyst,TripActions,"Palo Alto, CA",94301,Palo Alto,CA
2715155951,Data Analyst,Community Health Center Network,"San Leandro, CA",94577,San Leandro,CA
2741559527,Data Analyst,Valdera,San Francisco Bay Area,94101,San Francisco,CA
2722235787,Data Analyst,cisco.com,"San Jose, CA",95101,San Jose,CA
2699268390,Consulting Data Analyst,Kaiser Permanente,"Santa Clara, CA",95050,Santa Clara,CA
2724923132,Consulting Data Analyst,Kaiser Permanente,"Santa Clara, CA",95050,Santa Clara,CA
2747793868,Data Analyst III - Cart and Checkout,Walmart,"Sunnyvale, CA",94085,Sunnyvale,CA
2733218195,Data Analyst,Social Media,"Menlo Park, CA",94025,Menlo Park,CA
2756457097,Data Analyst,Epic for Kids,"Redwood City, CA",94061,Redwood City,CA
